Time,X3:EMGLE
0,9.6
0.0033,9
0.0067,19.2
0.01,13.8
0.0133,-15.9
0.0167,-1.5
0.02,4.8
0.0233,8.4
0.0267,19.5
0.03,43.5
0.0333,9.9
0.0367,-30.3
0.04,0.3
0.0433,2.7
0.0467,31.5
0.05,21.6
0.0533,-16.5
0.0567,3.9
0.06,3.3
0.0633,15.3
0.0667,25.8
0.07,1.8
0.0733,-8.4
0.0767,17.1
0.08,5.4
0.0833,44.7
0.0867,-4.2
0.09,-8.7
0.0933,-7.5
0.0967,-9.9
0.1,2.4
0.1033,4.8
0.1067,14.1
0.11,20.7
0.1133,22.8
0.1167,-16.8
0.12,8.4
0.1233,30.6
0.1267,10.2
0.13,-6
0.1333,-2.4
0.1367,0.6
0.14,8.1
0.1433,25.8
0.1467,10.5
0.15,5.4
0.1533,18
0.1567,-5.4
0.16,5.4
0.1633,2.7
0.1667,10.2
0.17,-2.1
0.1733,6.9
0.1767,7.2
0.18,26.1
0.1833,-0.6
0.1867,9.9
0.19,-0.6
0.1933,6.3
0.1967,12
0.2,19.8
0.2033,40.2
0.2067,8.1
0.21,-14.4
0.2133,-14.7
0.2167,-0.6
0.22,1.2
0.2233,10.5
0.2267,9.9
0.23,12
0.2333,10.8
0.2367,29.7
0.24,12.3
0.2433,8.4
0.2467,-1.2
0.25,6.6
0.2533,14.4
0.2567,6
0.26,41.1
0.2633,36.3
0.2667,10.5
0.27,-26.7
0.2733,-23.7
0.2767,3.9
0.28,-6.6
0.2833,-4.2
0.2867,10.8
0.29,1.2
0.2933,6.6
0.2967,24
0.3,13.5
0.3033,-1.2
0.3067,13.8
0.31,8.1
0.3133,-2.7
0.3167,16.5
0.32,9.3
0.3233,32.1
0.3267,-13.5
0.33,17.7
0.3333,22.8
0.3367,-22.2
0.34,13.5
0.3433,-0.9
0.3467,-8.1
0.35,3.3
0.3533,-10.2
0.3567,-5.1
0.36,4.5
0.3633,15.6
0.3667,1.5
0.37,2.1
0.3733,5.7
0.3767,9.6
0.38,4.2
0.3833,17.4
0.3867,18
0.39,-7.2
0.3933,-2.1
0.3967,30.6
0.4,30.9
0.4033,-48
0.4067,-18
0.41,-15.6
0.4133,-5.7
0.4167,-8.7
0.42,-12
0.4233,15.9
0.4267,-6.9
0.43,2.7
0.4333,-0.6
0.4367,30.3
0.44,10.8
0.4433,-4.5
0.4467,12.3
0.45,13.8
0.4533,5.7
0.4567,-12.6
0.46,-25.2
0.4633,-1.2
0.4667,8.7
0.47,3.3
0.4733,5.4
0.4767,0.3
0.48,-5.7
0.4833,21
0.4867,13.5
0.49,-0.6
0.4933,7.5
0.4967,5.4
0.5,-22.5
0.5033,6.3
0.5067,29.4
0.51,50.1
0.5133,-11.1
0.5167,-18
0.52,10.2
0.5233,-3.9
0.5267,-36.9
0.53,-9.9
0.5333,0.6
0.5367,-5.7
0.54,-9.3
0.5433,7.5
0.5467,7.2
0.55,27.3
0.5533,-22.2
