Time,X3:EMGLE
0,-86.1
0.0033,-72.3
0.0067,-87.3
0.01,-86.7
0.0133,-82.2
0.0167,-86.4
0.02,-79.2
0.0233,-78.6
0.0267,-82.8
0.03,-81.3
0.0333,-85.8
0.0367,-87.6
0.04,-83.7
0.0433,-74.1
0.0467,-87.9
0.05,-80.1
0.0533,-93.9
0.0567,-79.8
0.06,-80.1
0.0633,-82.2
0.0667,-86.1
0.07,-81.9
0.0733,-78
0.0767,-87
0.08,-79.5
0.0833,-83.1
0.0867,-80.4
0.09,-82.5
0.0933,-86.7
0.0967,-77.7
0.1,-81.6
0.1033,-76.8
0.1067,-81
0.11,-93
0.1133,-74.1
0.1167,-79.2
0.12,-80.7
0.1233,-84.9
0.1267,-80.7
0.13,-83.4
0.1333,-81.3
0.1367,-85.2
0.14,-75.9
0.1433,-88.8
0.1467,-73.5
0.15,-77.7
0.1533,-87.3
0.1567,-75.6
0.16,-75.6
0.1633,-70.8
0.1667,-69
0.17,-79.2
0.1733,-78.6
0.1767,-76.5
0.18,-77.1
0.1833,-70.8
0.1867,-83.4
0.19,-83.7
0.1933,-85.5
0.1967,-78.6
0.2,-74.1
0.2033,-80.4
0.2067,-73.2
0.21,-84.6
0.2133,-80.1
0.2167,-75.9
0.22,-68.7
0.2233,-75.9
0.2267,-83.1
0.23,-79.8
0.2333,-79.8
0.2367,-78
0.24,-77.7
0.2433,-76.2
0.2467,-79.5
0.25,-76.2
0.2533,-78
0.2567,-75
0.26,-82.2
0.2633,-73.2
0.2667,-81.6
0.27,-77.1
0.2733,-75.9
0.2767,-74.1
0.28,-70.8
0.2833,-74.7
0.2867,-72.6
0.29,-92.1
0.2933,-71.7
0.2967,-84.3
0.3,-79.2
0.3033,-80.4
0.3067,-68.7
0.31,-73.8
0.3133,-90
0.3167,-74.1
0.32,-79.8
0.3233,-77.1
0.3267,-83.1
0.33,-84
0.3333,-78.3
0.3367,-66.3
0.34,-74.4
0.3433,-82.8
0.3467,-80.1
0.35,-77.1
0.3533,-80.7
0.3567,-80.1
0.36,-75.9
0.3633,-73.8
0.3667,-78
0.37,-75
0.3733,-80.4
0.3767,-73.5
0.38,-77.1
0.3833,-79.8
0.3867,-80.7
0.39,-72.9
0.3933,-75
0.3967,-74.7
0.4,-72.3
0.4033,-73.5
0.4067,-75.6
0.41,-75.3
0.4133,-78.3
0.4167,-69.6
0.42,-70.8
0.4233,-51
0.4267,-79.8
0.43,-75
0.4333,-78
0.4367,-66.6
0.44,-77.7
0.4433,-76.2
0.4467,-78
0.45,-69
0.4533,-72
0.4567,-70.5
0.46,-73.8
0.4633,-91.2
0.4667,-72
0.47,-78.9
0.4733,-82.8
0.4767,-73.2
0.48,-72
0.4833,-76.5
0.4867,-80.4
0.49,-84.9
0.4933,-77.7
0.4967,-74.7
0.5,-76.8
0.5033,-82.2
0.5067,-75.9
0.51,-79.8
0.5133,-79.8
0.5167,-73.8
0.52,-73.8
0.5233,-76.2
0.5267,-79.2
0.53,-76.2
0.5333,-77.1
0.5367,-79.2
0.54,-74.4
0.5433,-70.5
0.5467,-76.8
0.55,-65.1
0.5533,-67.8
0.5567,-81.9
0.56,-78.9
0.5633,-71.4
0.5667,-92.4
0.57,-80.1
0.5733,-78.3
0.5767,-80.7
0.58,-66.3
0.5833,-76.5
0.5867,-87.9
0.59,-83.4
0.5933,-84.6
0.5967,-67.8
0.6,-78.3
0.6033,-77.4
0.6067,-79.5
0.61,-78.9
0.6133,-79.8
0.6167,-79.2
0.62,-71.7
0.6233,-74.7
0.6267,-79.8
0.63,-79.8
0.6333,-72.3
0.6367,-82.8
0.64,-70.2
0.6433,-77.1
0.6467,-78.9
0.65,-72.9
0.6533,-81.9
0.6567,-68.7
0.66,-72.6
0.6633,-67.2
0.6667,-72
0.67,-67.8
0.6733,-73.5
0.6767,-66
0.68,-65.4
0.6833,-79.2
0.6867,-78
0.69,-81.6
0.6933,-73.8
0.6967,-57.6
0.7,-62.1
0.7033,-86.1
0.7067,-78.3
0.71,-86.7
0.7133,-81.3
0.7167,-72.9
0.72,-72.3
0.7233,-82.2
0.7267,-78.3
0.73,-77.7
0.7333,-77.7
0.7367,-69.3
0.74,-76.2
0.7433,-66
0.7467,-88.2
0.75,-73.2
0.7533,-66.6
0.7567,-77.4
0.76,-75.6
0.7633,-72.9
0.7667,-72
0.77,-66.3
0.7733,-83.1
0.7767,-77.1
0.78,-76.8
0.7833,-76.2
0.7867,-76.2
0.79,-67.8
0.7933,-79.2
0.7967,-72.9
0.8,-75.3
0.8033,-69.9
0.8067,-75.6
0.81,-69.3
0.8133,-66.9
0.8167,-69
0.82,-64.5
0.8233,-70.8
0.8267,-71.7
0.83,-74.7
0.8333,-73.8
0.8367,-67.8
0.84,-75.6
0.8433,-64.5
0.8467,-71.4
0.85,-72.3
0.8533,-80.1
0.8567,-81.9
0.86,-82.5
